source,currency_pair,rate,rate_type,iso_datetime,date,timestamp
ardshinbank,USD/RUB,86.32286995515695,value,2025-10-01T05:04:34.964000+03:00,2025-10-01,1759284274
ardshinbank,CNY/RUB,12.286995515695066,value,2025-10-01T05:04:34.964000+03:00,2025-10-01,1759284274
tinkoff,USD/RUB,87.95,value,2025-10-01T05:04:35.731000+03:00,2025-10-01,1759284275
tinkoff,CNY/RUB,12.321,value,2025-10-01T05:04:35.731000+03:00,2025-10-01,1759284275
cbr,USD/RUB,82.6084,value,2025-10-01T11:30:00+03:00,2025-10-01,1759307400
cbr,CNY/RUB,11.5548,value,2025-10-01T11:30:00+03:00,2025-10-01,1759307400
forex,USD/RUB,82.68,value,2025-10-01T03:00:01+03:00,2025-10-01,1759276801
forex,CNY/RUB,11.61,value,2025-10-01T03:00:01+03:00,2025-10-01,1759276801
rbc_cash,USD/RUB,83.1,min,2025-10-01T05:04:37+03:00,2025-10-01,1759284277
rbc_cash,USD/RUB,83.1,p05,2025-10-01T05:04:37+03:00,2025-10-01,1759284277
rbc_cash,USD/RUB,83.5,median,2025-10-01T05:04:37+03:00,2025-10-01,1759284277
rbc_cash,CNY/RUB,12.5,min,2025-10-01T05:04:37+03:00,2025-10-01,1759284277
rbc_cash,CNY/RUB,12.5,p05,2025-10-01T05:04:37+03:00,2025-10-01,1759284277
rbc_cash,CNY/RUB,12.5,median,2025-10-01T05:04:37+03:00,2025-10-01,1759284277
bestchange,USDT_TRC20/RUB,85.08864068,min,2025-10-01T05:04:38+03:00,2025-10-01,1759284278
bestchange,USDT_TRC20/RUB,85.1225,p05,2025-10-01T05:04:38+03:00,2025-10-01,1759284278
bestchange,USDT_TRC20/RUB,91.01373987,median,2025-10-01T05:04:38+03:00,2025-10-01,1759284278
